City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Vestmannaeyjar,IS,63.4427,-20.2734,40.93,69,96,14.45,overcast clouds
268,Liuzhou,CN,24.3126,109.3892,79.09,54,35,14.03,scattered clouds
269,Nakamura,JP,32.9833,132.9333,77.13,63,97,4.09,overcast clouds
270,Caibarien,CU,22.5206,-79.4669,74.52,77,57,18.97,broken clouds
271,Ust-Tsilma,RU,65.441,52.1498,33.33,100,100,1.03,overcast clouds
272,Okhotsk,RU,59.3833,143.3,26.67,67,37,12.82,scattered clouds
273,Zabaykalsk,RU,49.6333,117.3167,42.62,22,8,8.77,clear sky
274,Pilar,BR,-9.5972,-35.9567,73.33,91,55,1.57,broken clouds
275,Plettenberg Bay,ZA,-34.0527,23.3716,65.89,67,55,5.48,broken clouds
276,Ballina,AU,-28.8667,153.5667,71.78,97,89,10.07,overcast clouds
277,Baturaja,ID,-4.1333,104.1667,86.31,64,39,0.58,scattered clouds
278,Port Keats,AU,-14.25,129.55,91.63,52,95,7.25,overcast clouds
279,Puerto Vallarta,MX,20.6204,-105.2307,75.9,89,20,5.75,few clouds
280,Samana,DO,19.2056,-69.3369,75.4,83,33,9.95,scattered clouds
281,Fort Atkinson,US,42.9289,-88.8371,62.33,89,100,4.0,overcast clouds
282,Carutapera,BR,-1.195,-46.02,76.28,92,96,4.72,overcast clouds
283,San Jose,US,37.3394,-121.895,51.8,58,20,12.66,few clouds
284,Bara,NG,10.3744,10.7288,75.51,74,71,2.53,light rain
285,Marrakesh,MA,31.6315,-8.0083,57.27,77,40,5.75,scattered clouds
286,Tecoanapa,MX,16.5167,-98.75,80.89,75,100,9.22,overcast clouds
287,High Rock,BS,26.6208,-78.2833,73.42,64,22,18.16,few clouds
288,Graneros,CL,-34.0667,-70.7333,54.82,34,10,5.97,clear sky
289,Honningsvag,NO,70.9821,25.9704,29.95,64,100,8.05,overcast clouds
290,Hami,CN,42.8,93.45,57.38,8,46,3.85,scattered clouds
291,Neftekamsk,RU,56.092,54.2703,36.18,97,100,4.99,overcast clouds
292,Muravlenko,RU,63.7898,74.523,32.72,82,31,15.41,scattered clouds
293,Sinnamary,GF,5.3833,-52.95,77.45,87,87,11.01,overcast clouds
